study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
weak,32cube,2,filtered_v2,025,33x33x65,70785,6.638796e-04,4.118663e-04,8.316520e-05,4.751810e-05,1.117113e-04,9.618750e-06
weak,32cube,2,filtered_v2,040,33x33x65,70785,6.553391e-04,4.141033e-04,5.288645e-05,6.159680e-05,1.179514e-04,8.801200e-06
weak,32cube,2,pascal,025,33x33x65,70785,7.063347e-04,4.146486e-04,5.315990e-05,4.495920e-05,1.845585e-04,9.008400e-06
weak,32cube,2,pascal,040,33x33x65,70785,7.553151e-04,4.122577e-04,5.056990e-05,7.875970e-05,2.040027e-04,9.725050e-06
weak,32cube,4,filtered_v2,025,33x33x129,140481,6.826198e-04,4.166813e-04,5.954035e-05,4.697370e-05,1.424929e-04,1.693160e-05
weak,32cube,4,filtered_v2,040,33x33x129,140481,6.914705e-04,4.170214e-04,5.700425e-05,4.556100e-05,1.536796e-04,1.820420e-05
weak,32cube,4,pascal,025,33x33x129,140481,1.019625e-03,4.144934e-04,5.652375e-05,4.821090e-05,4.804870e-04,1.991025e-05
weak,32cube,4,pascal,040,33x33x129,140481,9.774979e-04,4.164903e-04,5.401085e-05,4.769010e-05,4.413391e-04,1.796755e-05
weak,32cube,8,filtered_v2,025,33x33x257,279873,7.429735e-04,4.483716e-04,6.078835e-05,5.355480e-05,1.586405e-04,2.161835e-05
weak,32cube,8,filtered_v2,040,33x33x257,279873,8.205171e-04,4.985230e-04,7.803560e-05,5.236745e-05,1.699811e-04,2.160995e-05
weak,32cube,8,pascal,025,33x33x257,279873,1.481547e-03,4.159652e-04,5.703370e-05,4.599550e-05,9.383280e-04,2.422440e-05
weak,32cube,8,pascal,040,33x33x257,279873,1.417222e-03,4.155787e-04,5.688405e-05,4.926340e-05,8.736160e-04,2.187960e-05
weak,64cube,2,filtered_v2,025,65x65x129,545025,4.578431e-03,3.220481e-03,4.065317e-04,3.445385e-04,5.827145e-04,2.416525e-05
weak,64cube,2,filtered_v2,040,65x65x129,545025,4.608937e-03,3.204534e-03,4.003564e-04,3.289868e-04,6.505519e-04,2.450710e-05
weak,64cube,2,pascal,025,65x65x129,545025,5.089324e-03,3.230415e-03,3.804885e-04,3.284505e-04,1.125217e-03,2.475345e-05
weak,64cube,2,pascal,040,65x65x129,545025,5.008986e-03,3.238581e-03,4.110538e-04,3.768541e-04,9.585946e-04,2.390275e-05
weak,64cube,4,filtered_v2,025,65x65x257,1085825,4.839026e-03,3.278581e-03,4.127761e-04,4.067256e-04,6.865935e-04,5.434995e-05
weak,64cube,4,filtered_v2,040,65x65x257,1085825,4.907864e-03,3.263663e-03,4.071918e-04,4.205761e-04,7.695327e-04,4.689990e-05
weak,64cube,4,pascal,025,65x65x257,1085825,5.810348e-03,3.241302e-03,5.784860e-04,4.159280e-04,1.527409e-03,4.722320e-05
weak,64cube,4,pascal,040,65x65x257,1085825,5.389238e-03,3.232795e-03,4.084540e-04,3.200168e-04,1.381704e-03,4.626880e-05
weak,64cube,8,filtered_v2,025,65x65x513,2167425,5.117536e-03,3.393821e-03,4.757649e-04,4.067041e-04,7.911471e-04,5.009865e-05
weak,64cube,8,filtered_v2,040,65x65x513,2167425,5.440103e-03,3.343541e-03,5.096246e-04,4.875703e-04,1.046594e-03,5.277260e-05
weak,64cube,8,pascal,025,65x65x513,2167425,6.541469e-03,3.270918e-03,4.941916e-04,3.681664e-04,2.351214e-03,5.697895e-05
weak,64cube,8,pascal,040,65x65x513,2167425,6.794211e-03,3.299723e-03,5.750066e-04,4.755586e-04,2.387450e-03,5.647170e-05
