#       step         time           dt          wss        u_tau      div_max          U_b      rho_max      rho_min
          36 1.178146e+00   3.2726e-02 1.049896e-03 3.240210e-02   4.4984e-15 1.000000e+00 2.687131e-01 3.809635e-02
          37 1.210873e+00   3.2726e-02 1.049898e-03 3.240212e-02   4.5108e-15 1.000000e+00 2.687131e-01 3.809635e-02
          38 1.243599e+00   3.2726e-02 1.049899e-03 3.240215e-02   4.5177e-15 1.000000e+00 2.687131e-01 3.809635e-02
          39 1.276325e+00   3.2726e-02 1.049901e-03 3.240217e-02   4.4829e-15 1.000000e+00 2.687131e-01 3.809635e-02
          40 1.309052e+00   3.2726e-02 1.049903e-03 3.240220e-02   4.4449e-15 1.000000e+00 2.687131e-01 3.809635e-02
          41 1.341778e+00   3.2726e-02 1.049904e-03 3.240222e-02   4.4515e-15 1.000000e+00 2.687131e-01 3.809635e-02
          42 1.374504e+00   3.2726e-02 1.049906e-03 3.240225e-02   4.5090e-15 1.000000e+00 2.687131e-01 3.809635e-02
          43 1.407231e+00   3.2726e-02 1.049907e-03 3.240227e-02   4.5075e-15 1.000000e+00 2.687131e-01 3.809635e-02
          44 1.439957e+00   3.2726e-02 1.049908e-03 3.240229e-02   4.5155e-15 1.000000e+00 2.687131e-01 3.809635e-02
          45 1.472683e+00   3.2726e-02 1.049910e-03 3.240231e-02   4.5168e-15 1.000000e+00 2.687131e-01 3.809635e-02
          46 1.505409e+00   3.2726e-02 1.049911e-03 3.240233e-02   4.5139e-15 1.000000e+00 2.687131e-01 3.809635e-02
          47 1.538136e+00   3.2726e-02 1.049912e-03 3.240235e-02   4.4546e-15 1.000000e+00 2.687131e-01 3.809635e-02
          48 1.570862e+00   3.2726e-02 1.049913e-03 3.240237e-02   4.5140e-15 1.000000e+00 2.687131e-01 3.809635e-02
          49 1.603588e+00   3.2726e-02 1.049915e-03 3.240238e-02   4.5049e-15 1.000000e+00 2.687131e-01 3.809635e-02
          50 1.636315e+00   3.2726e-02 1.049916e-03 3.240240e-02   4.4834e-15 1.000000e+00 2.687131e-01 3.809635e-02
          51 1.669041e+00   3.2726e-02 1.049917e-03 3.240242e-02   4.4862e-15 1.000000e+00 2.687131e-01 3.809635e-02
          52 1.701767e+00   3.2726e-02 1.049918e-03 3.240244e-02   4.4972e-15 1.000000e+00 2.687131e-01 3.809635e-02
          53 1.734494e+00   3.2726e-02 1.049919e-03 3.240245e-02   4.4168e-15 1.000000e+00 2.687131e-01 3.809635e-02
          54 1.767220e+00   3.2726e-02 1.049920e-03 3.240247e-02   4.4976e-15 1.000000e+00 2.687131e-01 3.809635e-02
          55 1.799946e+00   3.2726e-02 1.049921e-03 3.240248e-02   4.3940e-15 1.000000e+00 2.687131e-01 3.809635e-02
          56 1.832672e+00   3.2726e-02 1.049922e-03 3.240250e-02   4.4717e-15 1.000000e+00 2.687131e-01 3.809635e-02
          57 1.865399e+00   3.2726e-02 1.049923e-03 3.240251e-02   4.4637e-15 1.000000e+00 2.687131e-01 3.809635e-02
          58 1.898125e+00   3.2726e-02 1.049924e-03 3.240253e-02   4.5059e-15 1.000000e+00 2.687131e-01 3.809635e-02
          59 1.930851e+00   3.2726e-02 1.049925e-03 3.240254e-02   4.3975e-15 1.000000e+00 2.687131e-01 3.809635e-02
          60 1.963578e+00   3.2726e-02 1.049925e-03 3.240255e-02   4.5161e-15 1.000000e+00 2.687131e-01 3.809635e-02
          61 1.996304e+00   3.2726e-02 1.049926e-03 3.240257e-02   4.4338e-15 1.000000e+00 2.687131e-01 3.809635e-02
